Id,Category
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,1
199,1
200,0
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,0
276,1
277,1
278,0
279,1
280,0
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,1
315,0
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,1
328,1
329,0
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,1
387,0
388,1
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,0
438,1
439,0
440,1
441,1
442,1
443,0
444,1
445,1
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,1
475,0
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,0
518,1
519,0
520,0
521,0
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,1
530,1
531,1
